date,produce,weight
2014-04-08,collards,3
2014-04-08,kale,24
2014-04-08,rosemary,1
2014-05-20,chives,3
2014-05-20,collards,4.5
2014-05-20,kale,2
2014-05-20,lettuce,7
2014-05-20,lettuce,15.5
2014-05-20,peas,2.5
2014-05-27,broccoli,0.5
2014-05-27,chard,2.5
2014-05-27,collards,3.5
2014-05-27,kale,3
2014-05-27,lettuce,4
2014-05-27,lettuce,9
2014-05-27,lettuce,10.5
2014-05-27,lettuce,20.5
2014-05-27,lettuce,26.5
2014-05-27,peas,6.5
2014-05-28,lettuce,21
2014-05-31,lettuce,3
2014-05-31,lettuce,10
2014-05-31,peas,0.5
2014-06-03,broccoli,1
2014-06-03,chard,3
2014-06-03,collards,3
2014-06-03,kale,3
2014-06-03,lettuce,10
2014-06-03,lettuce,18
2014-06-03,lettuce,18
2014-06-03,lettuce,26.5
2014-06-03,lettuce,74
2014-06-03,parsley,0.5
2014-06-03,parsley,0.5
2014-06-03,peas,2
2014-06-03,peas,3
2014-06-07,collards,4
2014-06-07,lettuce,10
2014-06-10,broccoli,1.5
2014-06-10,chard,6.5
2014-06-10,green onions,3
2014-06-10,lettuce,43
2014-06-10,lettuce,45
2014-06-10,parsley,1
2014-06-10,peas,0.5
2014-06-10,peas,2.5
2014-06-10,rhubarb,30
2014-06-14,chard,4
2014-06-14,kale,4.5
2014-06-17,beans,1
2014-06-17,broccoli,2
2014-06-17,chard,3
2014-06-17,collards,6
2014-06-17,herbs,1
2014-06-17,kale,7
2014-06-17,lettuce,4
2014-06-17,lettuce,6
2014-06-17,lettuce,17.5
2014-06-17,parsley,1
2014-06-17,peas,0.5
2014-06-21,kale,2
2014-06-21,lettuce,16
2014-06-24,beets,14
2014-06-24,broccoli,3
2014-06-24,chard,1
2014-06-24,chard,3
2014-06-24,collards,4.5
2014-06-24,green onions,15
2014-06-24,kale,6.5
2014-06-24,lettuce,17
2014-06-24,lettuce,21
2014-06-24,parsley,1
2014-06-24,peas,0.5
2014-06-24,peas,1
2014-07-01,beans,1.5
2014-07-01,beets,6.5
2014-07-01,broccoli,2.5
2014-07-01,lettuce,10
2014-07-01,peas,4.5
2014-07-04,lettuce,0.5
2014-07-08,basil,0.5
2014-07-08,beans,2
2014-07-08,beans,6
2014-07-08,beets,5
2014-07-08,beets,10
2014-07-08,chard,2.5
2014-07-08,chives,0.5
2014-07-08,collards,2
2014-07-08,collards,6.5
2014-07-08,kale,4.5
2014-07-08,lettuce,16.5
2014-07-08,parsley,1
2014-07-08,parsley,2
2014-07-08,plums,20
2014-07-08,plums,22
2014-07-08,rhubarb,14
2014-07-12,squash,10
2014-07-12,zucchini,1.5
2014-07-16,beans,14
2014-07-16,beets,1
2014-07-16,beets,12
2014-07-16,beets,16
2014-07-16,beets,26
2014-07-16,chard,2
2014-07-16,cucumbers,1
